,source,target
0,D:\PROJECTS\Python_projects\PythonMain\data_task\0,D:\PROJECTS\Python_projects\PythonMain\data_solved\0
1,D:\PROJECTS\Python_projects\PythonMain\data_task\1,D:\PROJECTS\Python_projects\PythonMain\data_solved\1
2,D:\PROJECTS\Python_projects\PythonMain\data_task\2,D:\PROJECTS\Python_projects\PythonMain\data_solved\2
3,D:\PROJECTS\Python_projects\PythonMain\data_task\3,D:\PROJECTS\Python_projects\PythonMain\data_solved\3
4,D:\PROJECTS\Python_projects\PythonMain\data_task\4,D:\PROJECTS\Python_projects\PythonMain\data_solved\4
5,D:\PROJECTS\Python_projects\PythonMain\data_task\5,D:\PROJECTS\Python_projects\PythonMain\data_solved\5
6,D:\PROJECTS\Python_projects\PythonMain\data_task\6,D:\PROJECTS\Python_projects\PythonMain\data_solved\6
7,D:\PROJECTS\Python_projects\PythonMain\data_task\7,D:\PROJECTS\Python_projects\PythonMain\data_solved\7
8,D:\PROJECTS\Python_projects\PythonMain\data_task\8,D:\PROJECTS\Python_projects\PythonMain\data_solved\8
9,D:\PROJECTS\Python_projects\PythonMain\data_task\9,D:\PROJECTS\Python_projects\PythonMain\data_solved\9
10,D:\PROJECTS\Python_projects\PythonMain\data_task\10,D:\PROJECTS\Python_projects\PythonMain\data_solved\10
11,D:\PROJECTS\Python_projects\PythonMain\data_task\11,D:\PROJECTS\Python_projects\PythonMain\data_solved\11
12,D:\PROJECTS\Python_projects\PythonMain\data_task\12,D:\PROJECTS\Python_projects\PythonMain\data_solved\12
13,D:\PROJECTS\Python_projects\PythonMain\data_task\13,D:\PROJECTS\Python_projects\PythonMain\data_solved\13
14,D:\PROJECTS\Python_projects\PythonMain\data_task\14,D:\PROJECTS\Python_projects\PythonMain\data_solved\14
15,D:\PROJECTS\Python_projects\PythonMain\data_task\15,D:\PROJECTS\Python_projects\PythonMain\data_solved\15
16,D:\PROJECTS\Python_projects\PythonMain\data_task\16,D:\PROJECTS\Python_projects\PythonMain\data_solved\16
17,D:\PROJECTS\Python_projects\PythonMain\data_task\17,D:\PROJECTS\Python_projects\PythonMain\data_solved\17
18,D:\PROJECTS\Python_projects\PythonMain\data_task\18,D:\PROJECTS\Python_projects\PythonMain\data_solved\18
19,D:\PROJECTS\Python_projects\PythonMain\data_task\19,D:\PROJECTS\Python_projects\PythonMain\data_solved\19
20,D:\PROJECTS\Python_projects\PythonMain\data_task\20,D:\PROJECTS\Python_projects\PythonMain\data_solved\20
21,D:\PROJECTS\Python_projects\PythonMain\data_task\21,D:\PROJECTS\Python_projects\PythonMain\data_solved\21
22,D:\PROJECTS\Python_projects\PythonMain\data_task\22,D:\PROJECTS\Python_projects\PythonMain\data_solved\22
23,D:\PROJECTS\Python_projects\PythonMain\data_task\23,D:\PROJECTS\Python_projects\PythonMain\data_solved\23
24,D:\PROJECTS\Python_projects\PythonMain\data_task\24,D:\PROJECTS\Python_projects\PythonMain\data_solved\24
25,D:\PROJECTS\Python_projects\PythonMain\data_task\25,D:\PROJECTS\Python_projects\PythonMain\data_solved\25
26,D:\PROJECTS\Python_projects\PythonMain\data_task\26,D:\PROJECTS\Python_projects\PythonMain\data_solved\26
27,D:\PROJECTS\Python_projects\PythonMain\data_task\27,D:\PROJECTS\Python_projects\PythonMain\data_solved\27
28,D:\PROJECTS\Python_projects\PythonMain\data_task\28,D:\PROJECTS\Python_projects\PythonMain\data_solved\28
29,D:\PROJECTS\Python_projects\PythonMain\data_task\29,D:\PROJECTS\Python_projects\PythonMain\data_solved\29
30,D:\PROJECTS\Python_projects\PythonMain\data_task\30,D:\PROJECTS\Python_projects\PythonMain\data_solved\30
31,D:\PROJECTS\Python_projects\PythonMain\data_task\31,D:\PROJECTS\Python_projects\PythonMain\data_solved\31
32,D:\PROJECTS\Python_projects\PythonMain\data_task\32,D:\PROJECTS\Python_projects\PythonMain\data_solved\32
33,D:\PROJECTS\Python_projects\PythonMain\data_task\33,D:\PROJECTS\Python_projects\PythonMain\data_solved\33
34,D:\PROJECTS\Python_projects\PythonMain\data_task\34,D:\PROJECTS\Python_projects\PythonMain\data_solved\34
35,D:\PROJECTS\Python_projects\PythonMain\data_task\35,D:\PROJECTS\Python_projects\PythonMain\data_solved\35
36,D:\PROJECTS\Python_projects\PythonMain\data_task\36,D:\PROJECTS\Python_projects\PythonMain\data_solved\36
37,D:\PROJECTS\Python_projects\PythonMain\data_task\37,D:\PROJECTS\Python_projects\PythonMain\data_solved\37
38,D:\PROJECTS\Python_projects\PythonMain\data_task\38,D:\PROJECTS\Python_projects\PythonMain\data_solved\38
39,D:\PROJECTS\Python_projects\PythonMain\data_task\39,D:\PROJECTS\Python_projects\PythonMain\data_solved\39
40,D:\PROJECTS\Python_projects\PythonMain\data_task\40,D:\PROJECTS\Python_projects\PythonMain\data_solved\40
41,D:\PROJECTS\Python_projects\PythonMain\data_task\41,D:\PROJECTS\Python_projects\PythonMain\data_solved\41
42,D:\PROJECTS\Python_projects\PythonMain\data_task\42,D:\PROJECTS\Python_projects\PythonMain\data_solved\42
43,D:\PROJECTS\Python_projects\PythonMain\data_task\43,D:\PROJECTS\Python_projects\PythonMain\data_solved\43
44,D:\PROJECTS\Python_projects\PythonMain\data_task\44,D:\PROJECTS\Python_projects\PythonMain\data_solved\44
45,D:\PROJECTS\Python_projects\PythonMain\data_task\45,D:\PROJECTS\Python_projects\PythonMain\data_solved\45
46,D:\PROJECTS\Python_projects\PythonMain\data_task\46,D:\PROJECTS\Python_projects\PythonMain\data_solved\46
47,D:\PROJECTS\Python_projects\PythonMain\data_task\47,D:\PROJECTS\Python_projects\PythonMain\data_solved\47
48,D:\PROJECTS\Python_projects\PythonMain\data_task\48,D:\PROJECTS\Python_projects\PythonMain\data_solved\48
49,D:\PROJECTS\Python_projects\PythonMain\data_task\49,D:\PROJECTS\Python_projects\PythonMain\data_solved\49
50,D:\PROJECTS\Python_projects\PythonMain\data_task\50,D:\PROJECTS\Python_projects\PythonMain\data_solved\50
51,D:\PROJECTS\Python_projects\PythonMain\data_task\51,D:\PROJECTS\Python_projects\PythonMain\data_solved\51
52,D:\PROJECTS\Python_projects\PythonMain\data_task\52,D:\PROJECTS\Python_projects\PythonMain\data_solved\52
53,D:\PROJECTS\Python_projects\PythonMain\data_task\53,D:\PROJECTS\Python_projects\PythonMain\data_solved\53
54,D:\PROJECTS\Python_projects\PythonMain\data_task\54,D:\PROJECTS\Python_projects\PythonMain\data_solved\54
55,D:\PROJECTS\Python_projects\PythonMain\data_task\55,D:\PROJECTS\Python_projects\PythonMain\data_solved\55
56,D:\PROJECTS\Python_projects\PythonMain\data_task\56,D:\PROJECTS\Python_projects\PythonMain\data_solved\56
57,D:\PROJECTS\Python_projects\PythonMain\data_task\57,D:\PROJECTS\Python_projects\PythonMain\data_solved\57
58,D:\PROJECTS\Python_projects\PythonMain\data_task\58,D:\PROJECTS\Python_projects\PythonMain\data_solved\58
59,D:\PROJECTS\Python_projects\PythonMain\data_task\59,D:\PROJECTS\Python_projects\PythonMain\data_solved\59
60,D:\PROJECTS\Python_projects\PythonMain\data_task\60,D:\PROJECTS\Python_projects\PythonMain\data_solved\60
